date_key,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend
20050101,2005-01-01,1,1,January,1,2005,Saturday,1
20050102,2005-01-02,2,1,January,1,2005,Sunday,1
20050103,2005-01-03,3,1,January,1,2005,Monday,0
20050104,2005-01-04,4,1,January,1,2005,Tuesday,0
20050105,2005-01-05,5,1,January,1,2005,Wednesday,0
20050106,2005-01-06,6,1,January,1,2005,Thursday,0
20050107,2005-01-07,7,1,January,1,2005,Friday,0
20050108,2005-01-08,8,1,January,1,2005,Saturday,1
20050109,2005-01-09,9,1,January,1,2005,Sunday,1
20050110,2005-01-10,10,1,January,1,2005,Monday,0
20050111,2005-01-11,11,1,January,1,2005,Tuesday,0
20050112,2005-01-12,12,1,January,1,2005,Wednesday,0
20050113,2005-01-13,13,1,January,1,2005,Thursday,0
20050114,2005-01-14,14,1,January,1,2005,Friday,0
20050115,2005-01-15,15,1,January,1,2005,Saturday,1
20050116,2005-01-16,16,1,January,1,2005,Sunday,1
20050117,2005-01-17,17,1,January,1,2005,Monday,0
20050118,2005-01-18,18,1,January,1,2005,Tuesday,0
20050119,2005-01-19,19,1,January,1,2005,Wednesday,0
20050120,2005-01-20,20,1,January,1,2005,Thursday,0
20050121,2005-01-21,21,1,January,1,2005,Friday,0
20050122,2005-01-22,22,1,January,1,2005,Saturday,1
20050123,2005-01-23,23,1,January,1,2005,Sunday,1
20050124,2005-01-24,24,1,January,1,2005,Monday,0
20050125,2005-01-25,25,1,January,1,2005,Tuesday,0
20050126,2005-01-26,26,1,January,1,2005,Wednesday,0
20050127,2005-01-27,27,1,January,1,2005,Thursday,0
20050128,2005-01-28,28,1,January,1,2005,Friday,0
20050129,2005-01-29,29,1,January,1,2005,Saturday,1
20050130,2005-01-30,30,1,January,1,2005,Sunday,1
20050131,2005-01-31,31,1,January,1,2005,Monday,0
20050201,2005-02-01,1,2,February,1,2005,Tuesday,0
20050202,2005-02-02,2,2,February,1,2005,Wednesday,0
20050203,2005-02-03,3,2,February,1,2005,Thursday,0
20050204,2005-02-04,4,2,February,1,2005,Friday,0
20050205,2005-02-05,5,2,February,1,2005,Saturday,1
20050206,2005-02-06,6,2,February,1,2005,Sunday,1
20050207,2005-02-07,7,2,February,1,2005,Monday,0
20050208,2005-02-08,8,2,February,1,2005,Tuesday,0
20050209,2005-02-09,9,2,February,1,2005,Wednesday,0
20050210,2005-02-10,10,2,February,1,2005,Thursday,0
20050211,2005-02-11,11,2,February,1,2005,Friday,0
20050212,2005-02-12,12,2,February,1,2005,Saturday,1
20050213,2005-02-13,13,2,February,1,2005,Sunday,1
20050214,2005-02-14,14,2,February,1,2005,Monday,0
20050215,2005-02-15,15,2,February,1,2005,Tuesday,0
20050216,2005-02-16,16,2,February,1,2005,Wednesday,0
20050217,2005-02-17,17,2,February,1,2005,Thursday,0
20050218,2005-02-18,18,2,February,1,2005,Friday,0
20050219,2005-02-19,19,2,February,1,2005,Saturday,1
20050220,2005-02-20,20,2,February,1,2005,Sunday,1
20050221,2005-02-21,21,2,February,1,2005,Monday,0
20050222,2005-02-22,22,2,February,1,2005,Tuesday,0
20050223,2005-02-23,23,2,February,1,2005,Wednesday,0
20050224,2005-02-24,24,2,February,1,2005,Thursday,0
20050225,2005-02-25,25,2,February,1,2005,Friday,0
20050226,2005-02-26,26,2,February,1,2005,Saturday,1
20050227,2005-02-27,27,2,February,1,2005,Sunday,1
20050228,2005-02-28,28,2,February,1,2005,Monday,0
20050301,2005-03-01,1,3,March,1,2005,Tuesday,0
20050302,2005-03-02,2,3,March,1,2005,Wednesday,0
20050303,2005-03-03,3,3,March,1,2005,Thursday,0
20050304,2005-03-04,4,3,March,1,2005,Friday,0
20050305,2005-03-05,5,3,March,1,2005,Saturday,1
20050306,2005-03-06,6,3,March,1,2005,Sunday,1
20050307,2005-03-07,7,3,March,1,2005,Monday,0
20050308,2005-03-08,8,3,March,1,2005,Tuesday,0
20050309,2005-03-09,9,3,March,1,2005,Wednesday,0
20050310,2005-03-10,10,3,March,1,2005,Thursday,0
20050311,2005-03-11,11,3,March,1,2005,Friday,0
20050312,2005-03-12,12,3,March,1,2005,Saturday,1
20050313,2005-03-13,13,3,March,1,2005,Sunday,1
20050314,2005-03-14,14,3,March,1,2005,Monday,0
20050315,2005-03-15,15,3,March,1,2005,Tuesday,0
20050316,2005-03-16,16,3,March,1,2005,Wednesday,0
20050317,2005-03-17,17,3,March,1,2005,Thursday,0
20050318,2005-03-18,18,3,March,1,2005,Friday,0
20050319,2005-03-19,19,3,March,1,2005,Saturday,1
20050320,2005-03-20,20,3,March,1,2005,Sunday,1
20050321,2005-03-21,21,3,March,1,2005,Monday,0
20050322,2005-03-22,22,3,March,1,2005,Tuesday,0
20050323,2005-03-23,23,3,March,1,2005,Wednesday,0
20050324,2005-03-24,24,3,March,1,2005,Thursday,0
20050325,2005-03-25,25,3,March,1,2005,Friday,0
20050326,2005-03-26,26,3,March,1,2005,Saturday,1
20050327,2005-03-27,27,3,March,1,2005,Sunday,1
20050328,2005-03-28,28,3,March,1,2005,Monday,0
20050329,2005-03-29,29,3,March,1,2005,Tuesday,0
20050330,2005-03-30,30,3,March,1,2005,Wednesday,0
20050331,2005-03-31,31,3,March,1,2005,Thursday,0
20050401,2005-04-01,1,4,April,2,2005,Friday,0
20050402,2005-04-02,2,4,April,2,2005,Saturday,1
20050403,2005-04-03,3,4,April,2,2005,Sunday,1
20050404,2005-04-04,4,4,April,2,2005,Monday,0
20050405,2005-04-05,5,4,April,2,2005,Tuesday,0
20050406,2005-04-06,6,4,April,2,2005,Wednesday,0
20050407,2005-04-07,7,4,April,2,2005,Thursday,0
20050408,2005-04-08,8,4,April,2,2005,Friday,0
20050409,2005-04-09,9,4,April,2,2005,Saturday,1
20050410,2005-04-10,10,4,April,2,2005,Sunday,1
20050411,2005-04-11,11,4,April,2,2005,Monday,0
20050412,2005-04-12,12,4,April,2,2005,Tuesday,0
20050413,2005-04-13,13,4,April,2,2005,Wednesday,0
20050414,2005-04-14,14,4,April,2,2005,Thursday,0
20050415,2005-04-15,15,4,April,2,2005,Friday,0
20050416,2005-04-16,16,4,April,2,2005,Saturday,1
20050417,2005-04-17,17,4,April,2,2005,Sunday,1
20050418,2005-04-18,18,4,April,2,2005,Monday,0
20050419,2005-04-19,19,4,April,2,2005,Tuesday,0
20050420,2005-04-20,20,4,April,2,2005,Wednesday,0
20050421,2005-04-21,21,4,April,2,2005,Thursday,0
20050422,2005-04-22,22,4,April,2,2005,Friday,0
20050423,2005-04-23,23,4,April,2,2005,Saturday,1
20050424,2005-04-24,24,4,April,2,2005,Sunday,1
20050425,2005-04-25,25,4,April,2,2005,Monday,0
20050426,2005-04-26,26,4,April,2,2005,Tuesday,0
20050427,2005-04-27,27,4,April,2,2005,Wednesday,0
20050428,2005-04-28,28,4,April,2,2005,Thursday,0
20050429,2005-04-29,29,4,April,2,2005,Friday,0
20050430,2005-04-30,30,4,April,2,2005,Saturday,1
20050501,2005-05-01,1,5,May,2,2005,Sunday,1
20050502,2005-05-02,2,5,May,2,2005,Monday,0
20050503,2005-05-03,3,5,May,2,2005,Tuesday,0
20050504,2005-05-04,4,5,May,2,2005,Wednesday,0
20050505,2005-05-05,5,5,May,2,2005,Thursday,0
20050506,2005-05-06,6,5,May,2,2005,Friday,0
20050507,2005-05-07,7,5,May,2,2005,Saturday,1
20050508,2005-05-08,8,5,May,2,2005,Sunday,1
20050509,2005-05-09,9,5,May,2,2005,Monday,0
