payment_id,customer_id,staff_id,rental_id,amount,store_id,date_key
1,1,1,76,2.99,1,20050525
2,1,1,573,0.99,1,20050528
3,1,1,1185,5.99,1,20050615
6,1,1,1725,4.99,1,20050616
7,1,1,2308,4.99,1,20050618
9,1,1,3284,3.99,1,20050621
11,1,1,4611,5.99,1,20050708
12,1,1,5244,4.99,1,20050709
13,1,1,5326,4.99,1,20050709
14,1,1,6163,7.99,1,20050711
16,1,1,7841,4.99,1,20050728
18,1,1,8074,0.99,1,20050728
24,1,1,11367,0.99,1,20050802
26,1,1,12250,0.99,1,20050818
29,1,1,14762,0.99,1,20050821
30,1,1,14825,1.99,1,20050822
32,1,1,15315,5.99,1,20050822
33,2,1,320,4.99,1,20050527
34,2,1,2128,2.99,1,20050617
35,2,1,5636,2.99,1,20050710
36,2,1,5755,6.99,1,20050710
38,2,1,7376,5.99,1,20050727
41,2,1,8598,2.99,1,20050729
43,2,1,9031,4.99,1,20050730
48,2,1,10136,2.99,1,20050731
49,2,1,10466,0.99,1,20050801
50,2,1,10918,0.99,1,20050802
51,2,1,11087,5.99,1,20050802
52,2,1,11177,6.99,1,20050802
54,2,1,11614,2.99,1,20050817
55,2,1,12963,2.99,1,20050819
56,2,1,14475,4.99,1,20050821
60,3,1,435,1.99,1,20050527
61,3,1,830,2.99,1,20050529
62,3,1,1546,8.99,1,20050616
63,3,1,1726,6.99,1,20050616
65,3,1,2628,2.99,1,20050619
66,3,1,4180,4.99,1,20050707
67,3,1,4725,4.99,1,20050708
68,3,1,7096,5.99,1,20050727
72,3,1,7911,4.99,1,20050728
74,3,1,8545,2.99,1,20050729
75,3,1,9226,1.99,1,20050730
77,3,1,9595,2.99,1,20050731
81,3,1,13403,8.99,1,20050819
85,3,1,15619,2.99,1,20050823
86,4,1,1297,4.99,1,20050615
87,4,1,1633,0.99,1,20050616
91,4,1,2642,5.99,1,20050619
92,4,1,7660,2.99,1,20050728
94,4,1,8741,3.99,1,20050729
95,4,1,9100,5.99,1,20050730
96,4,1,9371,5.99,1,20050730
98,4,1,11110,2.99,1,20050802
100,4,1,12151,2.99,1,20050818
103,4,1,13704,2.99,1,20050820
104,4,1,13807,6.99,1,20050820
106,4,1,15147,2.99,1,20050822
108,5,1,731,0.99,1,20050529
109,5,1,1085,6.99,1,20050531
110,5,1,1142,1.99,1,20050531
111,5,1,1502,3.99,1,20050615
118,5,1,5016,4.99,1,20050709
122,5,1,6042,8.99,1,20050711
123,5,1,6663,3.99,1,20050712
128,5,1,8263,2.99,1,20050729
129,5,1,8978,1.99,1,20050730
130,5,1,9493,4.99,1,20050730
131,5,1,9888,3.99,1,20050731
133,5,1,10625,0.99,1,20050801
135,5,1,11179,4.99,1,20050802
137,5,1,12145,9.99,1,20050818
138,5,1,12797,2.99,1,20050819
139,5,1,13063,1.99,1,20050819
142,5,1,14430,6.99,1,20050821
147,6,1,577,2.99,1,20050528
149,6,1,1575,3.99,1,20050616
151,6,1,1966,0.99,1,20050617
152,6,1,2345,0.99,1,20050618
155,6,1,5553,0.99,1,20050710
157,6,1,6248,7.99,1,20050711
161,6,1,8101,0.99,1,20050728
162,6,1,10271,2.99,1,20050801
163,6,1,11023,2.99,1,20050802
164,6,1,11398,3.99,1,20050802
165,6,1,11591,6.99,1,20050817
166,6,1,11727,0.99,1,20050817
167,6,1,11853,0.99,1,20050817
170,6,1,14329,7.99,1,20050821
171,6,1,14377,4.99,1,20050821
172,6,1,15509,5.99,1,20050823
177,7,1,975,4.99,1,20050530
178,7,1,1063,5.99,1,20050531
180,7,1,2250,2.99,1,20050618
181,7,1,2709,0.99,1,20050619
182,7,1,2888,4.99,1,20050620
183,7,1,3007,0.99,1,20050620
187,7,1,4856,4.99,1,20050708
188,7,1,5441,8.99,1,20050709
189,7,1,5921,7.99,1,20050710
190,7,1,6174,1.99,1,20050711
191,7,1,6295,2.99,1,20050711
196,7,1,10423,5.99,1,20050801
197,7,1,10514,4.99,1,20050801
201,7,1,12367,8.99,1,20050818
202,7,1,12730,2.99,1,20050818
204,7,1,13476,2.99,1,20050820
205,7,1,13594,0.99,1,20050820
206,7,1,14222,5.99,1,20050821
209,8,1,2095,5.99,1,20050617
211,8,1,3475,5.99,1,20050705
212,8,1,4003,0.99,1,20050707
215,8,1,4503,3.99,1,20050708
216,8,1,5300,2.99,1,20050709
218,8,1,6375,4.99,1,20050711
219,8,1,6647,0.99,1,20050712
220,8,1,8809,1.99,1,20050729
224,8,1,11232,9.99,1,20050802
226,8,1,12613,2.99,1,20050818
227,8,1,14114,0.99,1,20050821
228,8,1,15374,7.99,1,20050822
229,8,1,15764,2.99,1,20050823
230,8,1,15805,4.99,1,20050823
236,9,1,4454,2.99,1,20050707
238,9,1,4796,1.99,1,20050708
239,9,1,5659,2.99,1,20050710
241,9,1,6165,5.99,1,20050711
243,9,1,7801,2.99,1,20050728
244,9,1,9043,4.99,1,20050730
245,9,1,10451,0.99,1,20050801
246,9,1,10454,4.99,1,20050801
248,9,1,11556,0.99,1,20050817
249,9,1,12228,2.99,1,20050818
250,9,1,12309,2.99,1,20050818
253,9,1,15813,4.99,1,20060214
255,10,1,1801,4.99,1,20050616
256,10,1,1995,4.99,1,20050617
258,10,1,2814,0.99,1,20050619
259,10,1,2865,0.99,1,20050620
262,10,1,4255,1.99,1,20050707
263,10,1,5038,7.99,1,20050709
265,10,1,5444,0.99,1,20050709
266,10,1,5905,2.99,1,20050710
267,10,1,7738,2.99,1,20050728
270,10,1,9935,4.99,1,20050731
273,10,1,11405,0.99,1,20050802
278,10,1,15370,5.99,1,20050822
279,11,1,987,6.99,1,20050530
280,11,1,1470,6.99,1,20050615
281,11,1,1939,7.99,1,20050617
282,11,1,3192,0.99,1,20050620
284,11,1,4943,4.99,1,20050708
287,11,1,7314,4.99,1,20050727
288,11,1,8014,4.99,1,20050728
291,11,1,8715,0.99,1,20050729
292,11,1,8950,9.99,1,20050730
294,11,1,10812,4.99,1,20050801
299,11,1,13790,4.99,1,20050820
300,11,1,15120,0.99,1,20050822
302,11,1,11646,0.99,1,20060214
303,12,1,988,4.99,1,20050530
304,12,1,1084,4.99,1,20050531
310,12,1,3411,0.99,1,20050621
311,12,1,3870,3.99,1,20050706
312,12,1,5071,0.99,1,20050709
313,12,1,5074,0.99,1,20050709
316,12,1,6773,2.99,1,20050712
322,12,1,9627,5.99,1,20050731
326,12,1,12604,4.99,1,20050818
330,12,1,15993,0.99,1,20050823
331,13,1,1933,2.99,1,20050617
332,13,1,2209,4.99,1,20050618
333,13,1,2952,2.99,1,20050620
334,13,1,3047,8.99,1,20050620
336,13,1,6118,8.99,1,20050711
337,13,1,6568,2.99,1,20050712
338,13,1,6870,0.99,1,20050712
339,13,1,6897,2.99,1,20050712
340,13,1,7916,2.99,1,20050728
341,13,1,8277,2.99,1,20050729
345,13,1,9664,0.99,1,20050731
346,13,1,9736,7.99,1,20050731
347,13,1,10003,4.99,1,20050731
348,13,1,11292,4.99,1,20050802
354,13,1,13456,0.99,1,20050820
355,13,1,14252,9.99,1,20050821
357,13,1,15338,4.99,1,20050822
358,14,1,151,0.99,1,20050526
359,14,1,346,9.99,1,20050527
360,14,1,525,5.99,1,20050528
361,14,1,671,2.99,1,20050528
364,14,1,3707,2.99,1,20050706
365,14,1,4952,0.99,1,20050708
366,14,1,5104,0.99,1,20050709
368,14,1,5383,4.99,1,20050709
369,14,1,5565,7.99,1,20050710
370,14,1,8035,6.99,1,20050728
371,14,1,8042,0.99,1,20050728
372,14,1,8548,3.99,1,20050729
375,14,1,9592,2.99,1,20050731
376,14,1,10348,2.99,1,20050801
378,14,1,11480,4.99,1,20050802
380,14,1,12668,2.99,1,20050818
381,14,1,13757,4.99,1,20050820
383,14,1,15373,0.99,1,20050822
384,14,1,16045,0.99,1,20050823
385,14,1,13780,4.99,1,20060214
386,15,1,2486,2.99,1,20050618
387,15,1,2937,5.99,1,20050620
389,15,1,3550,7.99,1,20050706
390,15,1,4127,5.99,1,20050707
391,15,1,5717,2.99,1,20050710
393,15,1,7105,4.99,1,20050727
394,15,1,8193,0.99,1,20050728
397,15,1,9987,2.99,1,20050731
398,15,1,11118,2.99,1,20050802
399,15,1,11141,2.99,1,20050802
402,15,1,11922,7.99,1,20050817
405,15,1,12635,2.99,1,20050818
407,15,1,13393,5.99,1,20050819
409,15,1,13541,4.99,1,20050820
414,15,1,15178,0.99,1,20050822
415,15,1,15897,4.99,1,20050823
416,15,1,13798,3.98,1,20060214
418,16,1,335,3.99,1,20050527
419,16,1,593,2.99,1,20050528
421,16,1,1017,2.99,1,20050531
423,16,1,1944,7.99,1,20050617
425,16,1,2960,7.99,1,20050620
427,16,1,3548,0.99,1,20050706
431,16,1,6100,4.99,1,20050711
441,16,1,12358,4.99,1,20050818
442,16,1,12577,7.99,1,20050818
444,16,1,13391,4.99,1,20050819
445,16,1,13480,6.99,1,20050820
446,16,1,14511,8.99,1,20050821
448,17,1,580,2.99,1,20050528
451,17,1,2684,8.99,1,20050619
453,17,1,5714,3.99,1,20050710
454,17,1,5883,3.99,1,20050710
457,17,1,8213,2.99,1,20050728
459,17,1,9138,2.99,1,20050730
461,17,1,9489,0.99,1,20050730
463,17,1,13732,2.99,1,20050820
464,17,1,14040,2.99,1,20050820
466,17,1,14346,2.99,1,20050821
468,18,1,50,2.99,1,20050525
469,18,1,116,4.99,1,20050525
470,18,1,692,4.99,1,20050529
474,18,1,2990,8.99,1,20050620
479,18,1,6846,0.99,1,20050712
481,18,1,8555,4.99,1,20050729
482,18,1,9036,4.99,1,20050730
484,18,1,10682,4.99,1,20050801
492,19,1,179,6.99,1,20050526
493,19,1,337,2.99,1,20050527
496,19,1,2657,2.99,1,20050619
497,19,1,2848,2.99,1,20050619
501,19,1,9157,5.99,1,20050730
502,19,1,9256,0.99,1,20050730
504,19,1,10176,7.99,1,20050731
506,19,1,11869,5.99,1,20050817
507,19,1,12211,9.99,1,20050818
509,19,1,13718,8.99,1,20050820
511,19,1,14101,4.99,1,20050821
512,19,1,15047,2.99,1,20050822
520,20,1,3350,4.99,1,20050621
522,20,1,4407,2.99,1,20050707
523,20,1,5718,2.99,1,20050710
524,20,1,6254,2.99,1,20050711
532,20,1,10616,7.99,1,20050801
533,20,1,10954,1.99,1,20050802
534,20,1,11821,0.99,1,20050817
535,20,1,12180,0.99,1,20050818
537,20,1,13137,4.99,1,20050819
541,20,1,15161,1.99,1,20050822
543,20,1,15460,2.99,1,20050823
544,21,1,260,3.99,1,20050526
546,21,1,570,0.99,1,20050528
548,21,1,2268,4.99,1,20050618
549,21,1,2393,2.99,1,20050618
551,21,1,3212,10.99,1,20050621
553,21,1,5772,3.99,1,20050710
554,21,1,5961,2.99,1,20050710
556,21,1,7994,0.99,1,20050728
560,21,1,9699,5.99,1,20050731
562,21,1,10734,0.99,1,20050801
567,21,1,12774,6.99,1,20050818
568,21,1,13381,2.99,1,20050819
570,21,1,13411,4.99,1,20050819
571,21,1,13463,8.99,1,20050820
572,21,1,13699,9.99,1,20050820
573,21,1,13740,4.99,1,20050820
577,21,1,14869,4.99,1,20050822
578,21,1,14933,2.99,1,20060214
579,22,1,370,4.99,1,20050527
580,22,1,556,4.99,1,20050528
582,22,1,3419,2.99,1,20050621
584,22,1,5294,6.99,1,20050709
585,22,1,5815,2.99,1,20050710
586,22,1,7087,4.99,1,20050727
587,22,1,7705,7.99,1,20050728
589,22,1,9580,4.99,1,20050731
590,22,1,12023,5.99,1,20050817
591,22,1,12124,2.99,1,20050817
594,22,1,14056,2.99,1,20050820
595,22,1,14564,6.99,1,20050821
596,22,1,15134,7.99,1,20050822
597,22,1,15589,6.99,1,20050823
598,22,1,15658,4.99,1,20050823
599,22,1,15793,4.99,1,20050823
600,22,1,12222,4.99,1,20060214
601,23,1,129,8.99,1,20050525
602,23,1,654,2.99,1,20050528
604,23,1,2753,1.99,1,20050619
605,23,1,2827,0.99,1,20050619
606,23,1,3015,5.99,1,20050620
607,23,1,3055,4.99,1,20050620
608,23,1,3461,2.99,1,20050621
612,23,1,6213,2.99,1,20050711
613,23,1,6238,2.99,1,20050711
615,23,1,7155,7.99,1,20050727
616,23,1,8015,2.99,1,20050728
621,23,1,10132,6.99,1,20050731
622,23,1,10898,2.99,1,20050802
633,24,1,1716,2.99,1,20050616
634,24,1,2070,2.99,1,20050617
636,24,1,2451,5.99,1,20050618
640,24,1,5310,0.99,1,20050709
642,24,1,6855,4.99,1,20050712
643,24,1,7266,1.99,1,20050727
644,24,1,8947,4.99,1,20050730
645,24,1,9723,0.99,1,20050731
648,24,1,11209,2.99,1,20050802
651,24,1,12745,2.99,1,20050818
652,24,1,12999,1.99,1,20050819
654,24,1,13247,0.99,1,20050819
656,25,1,90,7.99,1,20050525
658,25,1,1338,4.99,1,20050615
659,25,1,1365,2.99,1,20050615
662,25,1,2901,4.99,1,20050620
663,25,1,3447,4.99,1,20050621
664,25,1,4282,2.99,1,20050707
665,25,1,4319,0.99,1,20050707
667,25,1,5881,2.99,1,20050710
668,25,1,6653,4.99,1,20050712
672,25,1,9140,8.99,1,20050730
676,25,1,10324,5.99,1,20050801
678,25,1,10916,2.99,1,20050802
679,25,1,11642,0.99,1,20050817
680,25,1,12922,0.99,1,20050819
681,25,1,14193,4.99,1,20050821
682,25,1,14236,4.99,1,20050821
683,25,1,15512,0.99,1,20050823
684,25,1,15972,5.99,1,20050823
685,26,1,796,2.99,1,20050529
687,26,1,1440,5.99,1,20050615
689,26,1,2093,9.99,1,20050617
692,26,1,2532,4.99,1,20050619
693,26,1,2745,4.99,1,20050619
694,26,1,4065,2.99,1,20050707
695,26,1,4274,4.99,1,20050707
696,26,1,4382,4.99,1,20050707
698,26,1,4431,6.99,1,20050707
699,26,1,4536,3.99,1,20050708
700,26,1,4641,6.99,1,20050708
701,26,1,5437,2.99,1,20050709
702,26,1,6149,1.99,1,20050711
705,26,1,8241,4.99,1,20050729
706,26,1,9484,0.99,1,20050730
707,26,1,10386,3.99,1,20050801
708,26,1,10996,3.99,1,20050802
710,26,1,11338,0.99,1,20050802
711,26,1,11744,5.99,1,20050817
716,26,1,14677,7.99,1,20050821
717,26,1,15384,2.99,1,20050822
718,26,1,15722,7.99,1,20050823
720,27,1,1310,4.99,1,20050615
725,27,1,2815,4.99,1,20050619
726,27,1,3038,1.99,1,20050620
729,27,1,4510,5.99,1,20050708
730,27,1,5552,0.99,1,20050710
731,27,1,5736,4.99,1,20050710
735,27,1,7927,1.99,1,20050728
738,27,1,9673,7.99,1,20050731
739,27,1,9908,4.99,1,20050731
740,27,1,10794,7.99,1,20050801
741,27,1,10852,4.99,1,20050802
742,27,1,11234,0.99,1,20050802
743,27,1,11661,8.99,1,20050817
747,27,1,12531,2.99,1,20050818
749,27,1,15048,0.99,1,20050822
751,28,1,868,2.99,1,20050530
753,28,1,1543,4.99,1,20050616
756,28,1,3231,0.99,1,20050621
757,28,1,3845,0.99,1,20050706
761,28,1,5817,5.99,1,20050710
764,28,1,7580,9.99,1,20050727
765,28,1,8464,4.99,1,20050729
766,28,1,8901,2.99,1,20050730
772,28,1,11444,2.99,1,20050802
773,28,1,11856,3.99,1,20050817
775,28,1,12359,0.99,1,20050818
776,28,1,12708,2.99,1,20050818
779,28,1,15445,4.99,1,20050823
780,28,1,15491,2.99,1,20050823
783,29,1,2655,0.99,1,20050619
784,29,1,2673,0.99,1,20050619
785,29,1,2701,7.99,1,20050619
786,29,1,2735,2.99,1,20050619
789,29,1,3324,2.99,1,20050621
791,29,1,4313,0.99,1,20050707
794,29,1,5857,1.99,1,20050710
796,29,1,7451,6.99,1,20050727
797,29,1,7453,0.99,1,20050727
800,29,1,9946,4.99,1,20050731
801,29,1,10543,5.99,1,20050801
803,29,1,11079,4.99,1,20050802
805,29,1,12488,4.99,1,20050818
806,29,1,12508,2.99,1,20050818
810,29,1,13436,0.99,1,20050819
812,29,1,13832,3.99,1,20050820
813,29,1,14174,0.99,1,20050821
814,29,1,14703,4.99,1,20050821
815,29,1,14985,7.99,1,20050822
816,29,1,14997,5.99,1,20050822
822,30,1,3964,4.99,1,20050706
826,30,1,5108,9.99,1,20050709
827,30,1,5289,0.99,1,20050709
829,30,1,6249,0.99,1,20050711
833,30,1,8030,4.99,1,20050728
835,30,1,8083,4.99,1,20050728
836,30,1,8641,2.99,1,20050729
839,30,1,9641,0.99,1,20050731
840,30,1,9998,2.99,1,20050731
841,30,1,10235,6.99,1,20050801
842,30,1,12240,2.99,1,20050818
843,30,1,12546,2.99,1,20050818
845,30,1,13435,0.99,1,20050819
846,30,1,13682,4.99,1,20050820
847,30,1,14339,0.99,1,20050821
848,30,1,14585,2.99,1,20050821
849,30,1,15063,4.99,1,20050822
850,30,1,15544,4.99,1,20050823
853,31,1,1838,1.99,1,20050616
854,31,1,2233,0.99,1,20050618
