rental_id,rental_duration_days,is_late,late_days,date_key,customer_key,film_key,store_key,staff_key
4863,3,0,0,20050708,35,1,1,2
11433,9,1,3,20050802,518,1,1,1
14714,9,1,3,20050821,260,1,1,1
972,6,0,0,20050530,239,1,1,1
2117,5,0,0,20050617,232,1,1,2
4187,3,0,0,20050707,265,1,1,1
9449,6,0,0,20050730,333,1,1,1
15453,7,1,1,20050823,9,1,1,1
10126,3,0,0,20050731,62,1,1,1
15421,2,0,0,20050822,270,1,1,2
10883,0,0,0,20050802,433,1,1,1
14624,2,0,0,20050821,506,1,1,1
6493,4,0,0,20050712,363,4,1,1
8931,3,0,0,20050730,215,4,1,2
15352,8,1,3,20050822,10,4,1,2
995,6,1,1,20050531,330,4,1,2
2090,5,0,0,20050617,83,4,1,1
5682,2,0,0,20050710,117,4,1,2
6970,7,1,2,20050727,143,4,1,2
11714,0,0,0,20050817,101,4,1,1
8331,6,1,1,20050729,425,4,1,1
15199,3,0,0,20050822,39,4,1,1
3506,1,0,0,20050706,257,4,1,1
9863,7,1,2,20050731,240,4,1,1
15174,8,1,3,20050822,580,4,1,2
317,5,1,2,20050526,282,6,1,2
3391,3,0,0,20050621,77,6,1,1
4594,7,1,4,20050708,248,6,1,2
8353,0,0,0,20050729,17,6,1,1
12764,3,0,0,20050818,52,6,1,1
2965,9,1,6,20050620,443,6,1,1
3567,5,1,2,20050706,289,6,1,1
10526,7,1,4,20050801,551,6,1,1
11944,3,0,0,20050817,87,6,1,2
8263,2,0,0,20050729,496,6,1,2
13796,8,1,5,20050820,187,6,1,2
11084,5,0,0,20050802,334,7,1,1
14942,9,1,3,20050822,465,7,1,1
3159,8,1,2,20050620,397,7,1,2
4937,6,0,0,20050708,341,7,1,2
10205,5,0,0,20050801,137,7,1,1
15224,6,0,0,20050822,313,7,1,2
5745,8,1,5,20050710,544,9,1,1
10036,3,0,0,20050731,150,9,1,1
15802,6,1,3,20050823,561,9,1,2
3880,1,0,0,20050706,512,9,1,2
8837,8,1,5,20050729,249,9,1,2
15639,1,0,0,20050823,576,9,1,2
7835,4,1,1,20050728,285,9,1,2
15776,6,1,3,20050823,131,9,1,1
1948,3,0,0,20050617,15,10,1,1
6703,4,0,0,20050712,594,10,1,1
7174,4,0,0,20050727,338,10,1,1
13109,6,0,0,20050819,200,10,1,1
10696,2,0,0,20050801,134,10,1,1
13345,8,1,2,20050819,427,10,1,1
10482,1,0,0,20050801,225,10,1,2
14697,4,0,0,20050821,366,10,1,2
4400,8,1,2,20050707,198,10,1,2
10210,9,1,3,20050801,282,10,1,1
13878,1,0,0,20050820,500,10,1,2
563,9,1,3,20050528,129,11,1,1
2517,6,0,0,20050619,56,11,1,1
5461,0,0,0,20050709,403,11,1,2
8365,1,0,0,20050729,374,11,1,2
13395,2,0,0,20050819,368,11,1,2
10119,2,0,0,20050731,453,11,1,2
12780,1,0,0,20050818,409,11,1,2
5418,4,0,0,20050709,166,11,1,1
7635,4,0,0,20050728,185,11,1,2
12380,6,0,0,20050818,66,11,1,2
4027,2,0,0,20050707,247,11,1,1
11254,5,0,0,20050802,264,11,1,1
14887,8,1,2,20050822,219,11,1,1
6936,3,0,0,20050726,80,12,1,1
13625,7,1,1,20050820,102,12,1,1
1724,6,0,0,20050616,575,12,1,2
5594,2,0,0,20050710,194,12,1,2
8563,6,0,0,20050729,122,12,1,2
15232,3,0,0,20050822,496,12,1,1
827,7,1,1,20050529,305,12,1,1
1270,3,0,0,20050615,484,12,1,2
4061,3,0,0,20050707,456,12,1,2
9179,6,0,0,20050730,485,12,1,2
13110,1,0,0,20050819,444,12,1,1
505,1,0,0,20050528,580,15,1,1
2074,3,0,0,20050617,81,15,1,1
6090,9,1,4,20050711,121,15,1,2
11262,3,0,0,20050802,494,15,1,2
15565,7,1,2,20050823,111,15,1,2
481,2,0,0,20050527,13,15,1,2
2699,4,0,0,20050619,103,15,1,2
4443,8,1,3,20050707,87,15,1,1
10362,9,1,4,20050801,568,15,1,2
13874,1,0,0,20050820,505,15,1,2
10103,4,0,0,20050731,385,16,1,2
14976,6,0,0,20050822,333,16,1,1
2461,9,1,3,20050618,337,16,1,2
5382,4,0,0,20050709,499,16,1,1
10890,8,1,2,20050802,593,16,1,1
12442,2,0,0,20050818,416,16,1,1
10606,6,1,3,20050801,507,17,1,1
4612,3,0,0,20050708,396,17,1,1
10470,3,0,0,20050801,591,17,1,1
14585,4,1,1,20050821,495,17,1,1
8271,9,1,6,20050729,500,17,1,2
13606,6,1,3,20050820,575,17,1,2
664,4,0,0,20050528,591,18,1,2
1985,5,0,0,20050617,239,18,1,1
6563,9,1,3,20050712,599,18,1,1
7637,5,0,0,20050728,64,18,1,1
14002,2,0,0,20050820,266,18,1,1
781,1,0,0,20050529,89,18,1,1
2804,5,0,0,20050619,221,18,1,2
4433,9,1,3,20050707,259,18,1,2
7044,5,0,0,20050727,303,18,1,2
15527,1,0,0,20050823,437,18,1,1
4453,4,0,0,20050707,10,18,1,2
8646,5,0,0,20050729,117,18,1,2
14418,6,0,0,20050821,119,18,1,2
10895,1,0,0,20050802,40,19,1,2
12268,5,0,0,20050818,62,19,1,2
3150,5,0,0,20050620,287,19,1,1
5072,9,1,3,20050709,55,19,1,2
9080,7,1,1,20050730,578,19,1,1
14603,6,0,0,20050821,176,19,1,1
588,1,0,0,20050528,15,19,1,2
2867,3,0,0,20050620,511,19,1,1
6030,5,0,0,20050711,253,19,1,2
7788,5,0,0,20050728,447,19,1,1
14310,1,0,0,20050821,336,19,1,1
10509,8,1,2,20050801,562,19,1,2
14349,9,1,3,20050821,153,19,1,1
2199,5,1,1,20050618,315,20,1,2
5684,4,0,0,20050710,463,20,1,1
7946,6,1,2,20050728,106,20,1,2
12052,7,1,3,20050817,476,20,1,1
2036,1,0,0,20050617,318,20,1,2
4790,2,0,0,20050708,245,20,1,1
8963,9,1,5,20050730,59,20,1,1
15740,1,0,0,20050823,38,20,1,2
9210,8,1,4,20050730,524,20,1,2
11857,1,0,0,20050817,575,20,1,1
207,1,0,0,20050526,50,21,1,2
1454,1,0,0,20050615,157,21,1,2
4115,6,1,3,20050707,396,21,1,2
10757,2,0,0,20050801,394,21,1,2
14908,3,0,0,20050822,402,21,1,2
135,8,1,5,20050525,389,21,1,1
2803,8,1,5,20050619,134,21,1,1
6793,8,1,5,20050712,425,21,1,2
9374,7,1,4,20050730,117,21,1,2
15643,1,0,0,20050823,157,21,1,2
1269,1,0,0,20050615,213,22,1,2
4967,7,1,1,20050708,124,22,1,2
